"STATION_ID","DISTRICT","TOWS","SURVEY_YEAR","LATITUDE","LONGITUDE","STRATUM","TOTAL_AREA"
"K-07","North",1,2008,58.33333,-164,1,54536
"G-15","East",1,2006,57,-159.11667,2,7218
"I-16","East",1,2002,57.66667,-158.35,2,7218
"J-05","North",1,2013,58,-165.25,1,54536
"I-01","West",1,2015,57.66667,-167.76667,4,20050
"H-06","West",1,2013,57.33333,-164.61667,4,20050
"J-12","East",1,2015,58,-160.85,2,7218
"G-06","West",1,2012,57,-164.6,4,20050
"I-02","West",1,2012,57.66667,-167.13333,4,20050
"G-15","East",1,2010,57,-159.11667,2,7218
"J-05","North",1,2010,58,-165.25,1,54536
"J-03","West",1,2010,58,-166.51667,4,20050
"J-11","Central",1,2014,58,-161.48333,3,9624
"H-01","West",1,2010,57.33333,-167.73333,4,20050
"G-07","West",1,1976,57,-164,4,20050
"I-06","West",1,1976,57.66667,-164.61667,4,20050
"D-03","Outer",1,1977,56,-166.4,5,9223
"H-02","West",1,1977,57.33333,-167.11667,4,13233
"H-10","North",1,1979,57.33333,-162.15,1,54135
"H-14","Central",1,1979,57.33333,-159.66667,3,9624
"H-09","North",1,1980,57.33333,-162.76667,1,54135
"G-09","Central",1,1980,57,-162.78333,3,9624
"B-05","Outer",1,1980,55.33333,-165.16667,5,9624
"E-08","West",1,1983,56.33333,-163.4,4,20050
"K-09","North",1,1983,58.33333,-162.71667,1,54536
"I-10","North",1,1984,57.66667,-162.13333,1,54536
"D-08","West",1,1984,56,-163.4,4,20050
"I-08","North",1,1985,57.66667,-163.36667,1,54135
"G-15","East",1,1986,57,-159.11667,2,7218
"G-06","West",1,1987,57,-164.6,4,20050
"H-07","West",1,1987,57.33333,-164,4,20050
"E-07","West",1,1987,56.33333,-164,4,20050
"E-12","Central",1,1989,56.33333,-161,3,9624
"I-08","North",1,1989,57.66667,-163.36667,1,53734
"G-09","Central",1,1989,57,-162.78333,3,9624
"I-05","West",1,1989,57.66667,-165.25,4,19649
"B-05","Outer",1,1989,55.33333,-165.16667,5,9624
"G-12","Central",1,1991,57,-160.95,3,9624
"E-10","Central",1,1991,56.33333,-162.2,3,9624
"G-02","West",1,1991,57,-167.08333,4,20050
"K-08","North",1,1992,58.33333,-163.36667,1,53734
"A-04","Outer",1,1992,55,-165.75,5,9624
"J-07","North",1,1992,58,-164,1,53734
"D-08","West",1,2000,56,-163.4,4,20050
"A-02","Outer",1,1999,55,-166.93333,5,10025
"I-02","West",1,1999,57.66667,-167.13333,4,20050
"F-06","West",1,2001,56.66667,-164.6,4,20050
"I-16","East",1,1998,57.66667,-158.35,2,7218
"H-06","West",1,1998,57.33333,-164.61667,4,20050
"E-01","Outer",1,1996,56.33333,-167.65,5,10025
"D-08","West",1,1996,56,-163.4,4,20050
"I-16","East",1,2009,57.66667,-158.35,2,7218
"B-06","Outer",1,2007,55.33333,-164.58333,5,10025
"J-15","East",1,2007,58,-158.96667,2,7218
"H-05","West",1,2009,57.33333,-165.23333,4,20050
"E-07","West",1,2004,56.33333,-164,4,20050
"G-02","West",1,2006,57,-167.08333,4,20050
"C-01","Outer",1,2004,55.66667,-167.58333,5,10025
"I-11","Central",2,2006,57.66667,-161.5,3,9624
"H-10","North",2,2008,57.33333,-162.15,1,54536
"G-08","West",1,2002,57,-163.38333,4,20050
"B-02","Outer",1,2002,55.33333,-166.96667,5,9624
"H-05","West",1,2014,57.33333,-165.23333,4,20050
"G-05","West",1,2015,57,-165.21667,4,20050
"E-07","West",1,2013,56.33333,-164,4,20050
"D-04","Outer",1,2015,56,-165.78333,5,10025
"A-05","Outer",1,2010,55,-165.15,5,10025
"A-02","Outer",1,2010,55,-166.93333,5,10025
"K-01","West",1,2010,58.33333,-167.83333,4,20050
"F-13","East",1,1975,56.66667,-160.36667,2,4010
"E-07","West",1,1976,56.33333,-164,4,20050
"F-12","Central",1,1978,56.66667,-160.98333,3,9624
"J-12","East",1,1978,58,-160.85,2,4411
"I-15","East",1,1979,57.66667,-159.01667,2,7218
"H-04","West",1,1979,57.33333,-165.86667,4,20050
"H-04","West",1,1980,57.33333,-165.86667,4,20050
"K-08","North",1,1982,58.33333,-163.36667,1,53333
"H-02","West",1,1982,57.33333,-167.11667,4,20050
"I-14","East",1,1984,57.66667,-159.63333,2,7218
"G-03","West",1,1984,57,-166.46667,4,20050
"J-08","North",1,1985,58,-163.36667,1,54135
"F-04","West",1,1987,56.66667,-165.83333,4,20050
"F-03","West",1,1987,56.66667,-166.43333,4,20050
"I-08","North",1,1988,57.66667,-163.36667,1,53333
"B-04","Outer",1,1988,55.33333,-165.78333,5,9624
"F-01","Outer",1,1989,56.66667,-167.66667,5,9624
"B-05","Outer",1,1991,55.33333,-165.16667,5,9624
"I-03","West",1,1991,57.66667,-166.5,4,20050
"K-09","North",1,1991,58.33333,-162.71667,1,54135
"J-04","West",1,1992,58,-165.9,4,20050
"J-05","North",1,1992,58,-165.25,1,53734
"F-13","East",1,1993,56.66667,-160.36667,2,7218
"K-10","North",1,1995,58.33333,-162.05,1,54536
"G-08","West",1,1999,57,-163.38333,4,20050
"G-07","West",1,2001,57,-164,4,20050
"G-03","West",1,1999,57,-166.46667,4,20050
"H-14","Central",1,1998,57.33333,-159.66667,3,9624
"C-07","West",1,2000,55.66667,-164,4,20050
"J-05","North",1,1994,58,-165.25,1,54536
"J-14","East",1,2003,58,-159.6,2,7218
"G-01","West",1,2005,57,-167.7,4,20050
"A-02","Outer",1,2009,55,-166.93333,5,10025
"C-08","West",1,2004,55.66667,-163.4,4,20050
"I-06","West",1,2006,57.66667,-164.61667,4,20050
"E-04","West",1,2006,56.33333,-165.8,4,20050
"J-08","North",1,1994,58,-163.36667,1,54536
"I-15","East",1,2002,57.66667,-159.01667,2,7218
"I-16","East",1,2004,57.66667,-158.35,2,7218
"E-02","Outer",1,2004,56.33333,-167.03333,5,10025
"Z-05","Outer",1,2008,54.66667,-165.15,5,10025
"F-14","East",2,2012,56.66667,-159.75,2,7218
"I-15","East",1,2013,57.66667,-159.01667,2,7218
"C-05","Outer",1,2015,55.66667,-165.16667,5,10025
"C-08","West",1,2012,55.66667,-163.4,4,20050
"F-04","West",1,2012,56.66667,-165.83333,4,20050
"E-10","Central",1,1978,56.33333,-162.2,3,9624
"B-07","West",1,1977,55.33333,-164,4,13233
"D-07","West",1,1979,56,-164,4,20050
"E-07","West",1,1979,56.33333,-164,4,20050
"G-15","East",1,1979,57,-159.11667,2,7218
"H-13","Central",1,1980,57.33333,-160.3,3,9624
"F-03","West",1,1981,56.66667,-166.43333,4,20050
"C-08","West",1,1982,55.66667,-163.4,4,20050
"A-06","Outer",1,1982,55,-164.58333,5,9223
"D-05","West",1,1983,56,-165.18333,4,20050
"H-14","Central",1,1985,57.33333,-159.66667,3,9624
"H-15","East",1,1986,57.33333,-159.06667,2,7218
"G-13","Central",1,1987,57,-160.33333,3,9624
"D-05","West",1,1987,56,-165.18333,4,20050
"E-03","Outer",1,1988,56.33333,-166.41667,5,9624
"K-02","West",1,1988,58.33333,-167.18333,4,19649
"E-07","West",1,1989,56.33333,-164,4,19649
"J-03","West",1,1989,58,-166.51667,4,19649
"D-09","Central",1,1990,56,-162.81667,3,9624
"J-09","North",1,1991,58,-162.75,1,54135
"F-01","Outer",1,1991,56.66667,-167.66667,5,9624
"B-01","Outer",1,1993,55.33333,-167.55,5,10025
"H-16","East",1,1995,57.33333,-158.4,2,7218
"K-09","North",1,1999,58.33333,-162.71667,1,53734
"E-06","West",1,1995,56.33333,-164.58333,4,20050
"J-06","North",1,1997,58,-164.61667,1,54536
"D-02","Outer",1,2001,56,-167,5,10025
"C-02","Outer",1,2000,55.66667,-166.98333,5,10025
"J-03","West",1,1996,58,-166.51667,4,20050
"D-05","West",1,1998,56,-165.18333,4,20050
"K-13","East",1,1994,58.33333,-160.18333,2,7218
"A-03","Outer",1,1998,55,-166.33333,5,10025
"A-04","Outer",1,2000,55,-165.75,5,10025
"F-07","West",1,2009,56.66667,-164,4,20050
"H-08","West",1,2009,57.33333,-163.38333,4,20050
"F-05","West",1,2003,56.66667,-165.21667,4,20050
"J-15","East",1,2009,58,-158.96667,2,7218
"B-05","Outer",1,2009,55.33333,-165.16667,5,10025
"D-07","West",1,2004,56,-164,4,20050
"H-05","West",1,2004,57.33333,-165.23333,4,20050
"H-08","West",1,2004,57.33333,-163.38333,4,20050
"I-03","West",1,2008,57.66667,-166.5,4,20050
"D-07","West",1,2011,56,-164,4,20050
"D-03","Outer",1,2013,56,-166.4,5,10025
"J-13","East",1,2015,58,-160.21667,2,7218
"F-10","Central",1,2011,56.66667,-162.18333,3,9624
"J-14","East",1,2013,58,-159.6,2,7218
"B-02","Outer",1,2015,55.33333,-166.96667,5,10025
"G-09","Central",1,2010,57,-162.78333,3,9624
"B-01","Outer",1,1976,55.33333,-167.55,5,8421
"C-04","Outer",1,1978,55.66667,-165.8,5,10025
"D-04","Outer",1,1979,56,-165.78333,5,9624
"B-03","Outer",1,1981,55.33333,-166.35,5,10025
"G-08","West",1,1980,57,-163.38333,4,20050
"Z-05","Outer",1,1981,54.66667,-165.15,5,10025
"A-06","Outer",1,1984,55,-164.58333,5,10025
"Z-05","Outer",1,1987,54.66667,-165.15,5,9624
"E-06","West",1,1989,56.33333,-164.58333,4,19649
"I-07","West",1,1990,57.66667,-164,4,20050
"H-09","North",1,1991,57.33333,-162.76667,1,54135
"K-05","North",1,1991,58.33333,-165.28333,1,54135
"H-05","West",1,1991,57.33333,-165.23333,4,20050
"I-16","East",1,1993,57.66667,-158.35,2,7218
"D-04","Outer",1,1993,56,-165.78333,5,10025
"I-06","West",1,1999,57.66667,-164.61667,4,20050
"I-02","West",1,2001,57.66667,-167.13333,4,20050
"G-13","Central",1,2002,57,-160.33333,3,9624
"J-04","West",1,1998,58,-165.9,4,20050
"F-09","Central",1,2001,56.66667,-162.78333,3,9624
"G-05","West",1,2000,57,-165.21667,4,20050
"H-16","East",1,2000,57.33333,-158.4,2,7218
"B-08","West",1,1996,55.33333,-163.41667,4,20050
"K-10","North",1,2000,58.33333,-162.05,1,54135
"J-10","North",1,2003,58,-162.11667,1,54536
"I-02","West",1,2005,57.66667,-167.13333,4,20050
"I-15","East",1,2009,57.66667,-159.01667,2,7218
"K-11","East",1,2006,58.33333,-161.4,2,7218
"J-08","North",1,2006,58,-163.36667,1,54536
"G-08","West",2,2008,57,-163.38333,4,20050
"H-15","East",1,2002,57.33333,-159.06667,2,7218
"G-07","West",1,2006,57,-164,4,20050
"J-05","North",1,2006,58,-165.25,1,54536
"J-08","North",1,2002,58,-163.36667,1,54135
"E-05","West",1,2014,56.33333,-165.2,4,20050
"D-08","West",1,2011,56,-163.4,4,20050
"K-14","East",1,2011,58.33333,-159.55,2,7218
"E-04","West",1,2011,56.33333,-165.8,4,20050
"D-06","West",1,2013,56,-164.58333,4,20050
"G-12","Central",1,2015,57,-160.95,3,9624
"J-07","North",1,2015,58,-164,1,54536
"D-07","West",1,2010,56,-164,4,20050
"I-15","East",1,2014,57.66667,-159.01667,2,7218
"I-03","West",1,2012,57.66667,-166.5,4,20050
"A-03","Outer",1,1976,55,-166.33333,5,8421
"G-06","West",1,1979,57,-164.6,4,20050
"F-07","West",1,1979,56.66667,-164,4,20050
"I-14","East",1,1979,57.66667,-159.63333,2,7218
"I-13","Central",1,1979,57.66667,-160.26667,3,9624
"I-15","East",1,1980,57.66667,-159.01667,2,7218
"K-12","East",1,1981,58.33333,-160.75,2,6015
"K-02","West",1,1983,58.33333,-167.18333,4,20050
"F-11","Central",1,1983,56.66667,-161.58333,3,9624
"F-14","East",1,1984,56.66667,-159.75,2,7218
"H-02","West",1,1984,57.33333,-167.11667,4,20050
"H-07","West",1,1984,57.33333,-164,4,20050
"K-03","North",1,1984,58.33333,-166.55,1,54536
"G-06","West",1,1986,57,-164.6,4,20050
"G-04","West",1,1986,57,-165.85,4,20050
"K-10","North",1,1986,58.33333,-162.05,1,54135
"E-05","West",1,1989,56.33333,-165.2,4,19649
"K-13","East",1,1991,58.33333,-160.18333,2,7218
"A-05","Outer",1,1992,55,-165.15,5,9624
"G-13","Central",1,1992,57,-160.33333,3,9624
"I-10","North",1,1993,57.66667,-162.13333,1,54536
"C-07","West",1,2001,55.66667,-164,4,20050
"H-01","West",1,1999,57.33333,-167.73333,4,20050
"K-09","North",1,2002,58.33333,-162.71667,1,54135
"K-11","East",1,2000,58.33333,-161.4,2,7218
"J-09","North",1,2000,58,-162.75,1,54135
"H-07","West",1,1998,57.33333,-164,4,20050
"G-06","West",1,1996,57,-164.6,4,20050
"I-07","West",1,1994,57.66667,-164,4,20050
"J-07","North",1,1994,58,-164,1,54536
"K-06","North",1,2003,58.33333,-164.63333,1,54536
"F-14","East",1,2005,56.66667,-159.75,2,7218
"J-06","North",1,2005,58,-164.61667,1,54536
"K-03","North",1,2005,58.33333,-166.55,1,54536
"G-11","Central",2,2006,57,-161.56667,3,9624
"I-12","Central",2,2008,57.66667,-160.88333,3,9624
"D-08","West",1,2008,56,-163.4,4,20050
"G-15","East",1,2011,57,-159.11667,2,7218
"G-13","Central",2,2011,57,-160.33333,3,9624
"J-01","West",1,2011,58,-167.8,4,20050
"H-02","West",1,2011,57.33333,-167.11667,4,20050
"J-11","Central",2,2010,58,-161.48333,3,9624
"D-03","Outer",1,2012,56,-166.4,5,10025
"H-13","Central",1,1975,57.33333,-160.3,3,9624
"E-11","Central",1,1976,56.33333,-161.61667,3,9624
"G-13","Central",1,1977,57,-160.33333,3,9624
"G-01","West",1,1979,57,-167.7,4,20050
"G-15","East",1,1982,57,-159.11667,2,6817
"H-12","Central",1,1981,57.33333,-160.93333,3,9624
"E-10","Central",1,1984,56.33333,-162.2,3,9624
"K-14","East",1,1986,58.33333,-159.55,2,7218
"E-12","Central",1,1986,56.33333,-161,3,9624
"J-10","North",1,1987,58,-162.11667,1,53734
"E-02","Outer",1,1987,56.33333,-167.03333,5,9624
"F-10","Central",1,1989,56.66667,-162.18333,3,9624
"F-13","East",1,1991,56.66667,-160.36667,2,7218
"J-04","West",1,1991,58,-165.9,4,20050
"J-15","East",1,1993,58,-158.96667,2,7218
"E-03","Outer",1,1997,56.33333,-166.41667,5,10025
"D-06","West",1,1999,56,-164.58333,4,20050
"B-03","Outer",1,2001,55.33333,-166.35,5,10025
"A-06","Outer",1,2001,55,-164.58333,5,10025
"D-01","Outer",1,1999,56,-167.61667,5,10025
"H-08","West",1,2001,57.33333,-163.38333,4,20050
"F-10","Central",1,1998,56.66667,-162.18333,3,9624
"C-09","Central",1,1998,55.66667,-162.83333,3,9624
"B-03","Outer",1,1996,55.33333,-166.35,5,10025
"A-06","Outer",1,1998,55,-164.58333,5,10025
"E-07","West",1,2000,56.33333,-164,4,20050
"A-04","Outer",1,1996,55,-165.75,5,10025
"E-07","West",1,1994,56.33333,-164,4,20050
"B-07","West",1,1998,55.33333,-164,4,20050
"G-09","Central",2,2007,57,-162.78333,3,9624
"G-01","West",1,2003,57,-167.7,4,20050
"I-07","West",1,2005,57.66667,-164,4,20050
"F-12","Central",2,2008,56.66667,-160.98333,3,9624
"H-09","North",2,2008,57.33333,-162.76667,1,54536
"F-12","Central",1,2004,56.66667,-160.98333,3,9624
"H-05","West",1,2006,57.33333,-165.23333,4,20050
"A-04","Outer",1,2014,55,-165.75,5,10025
"D-02","Outer",1,2011,56,-167,5,10025
"G-04","West",1,2010,57,-165.85,4,20050
"G-08","West",1,2012,57,-163.38333,4,20050
"G-02","West",1,2012,57,-167.08333,4,20050
"E-07","West",1,2010,56.33333,-164,4,20050
"H-07","West",1,1978,57.33333,-164,4,17644
"I-10","North",1,1977,57.66667,-162.13333,1,39298
"I-16","East",1,1982,57.66667,-158.35,2,6817
"K-02","West",1,1982,58.33333,-167.18333,4,20050
"E-09","Central",1,1982,56.33333,-162.8,3,9624
"B-03","Outer",1,1983,55.33333,-166.35,5,10025
"A-03","Outer",1,1983,55,-166.33333,5,10025
"F-04","West",1,1986,56.66667,-165.83333,4,20050
"G-12","Central",1,1987,57,-160.95,3,9624
"B-06","Outer",1,1987,55.33333,-164.58333,5,9624
"F-12","Central",1,1989,56.66667,-160.98333,3,9624
"J-07","North",1,1989,58,-164,1,53734
"G-06","West",1,1991,57,-164.6,4,20050
"J-05","North",1,1991,58,-165.25,1,54135
"G-06","West",1,1992,57,-164.6,4,20050
"A-02","Outer",1,1992,55,-166.93333,5,9624
"D-01","Outer",1,1993,56,-167.61667,5,10025
"H-08","West",1,1995,57.33333,-163.38333,4,20050
"A-03","Outer",1,1997,55,-166.33333,5,10025
"E-10","Central",2,1999,56.33333,-162.2,3,9624
"G-07","West",1,1999,57,-164,4,20050
"H-09","North",1,1996,57.33333,-162.76667,1,54536
"C-02","Outer",1,2001,55.66667,-166.98333,5,10025
"J-05","North",1,2000,58,-165.25,1,54135
"F-13","East",1,1998,56.66667,-160.36667,2,7218
"J-06","North",1,1996,58,-164.61667,1,54536
"D-04","Outer",1,2000,56,-165.78333,5,10025
"G-10","Central",2,2007,57,-162.16667,3,9624
"G-06","West",1,2007,57,-164.6,4,20050
"H-04","West",1,2003,57.33333,-165.86667,4,20050
"G-09","Central",1,2003,57,-162.78333,3,9624
"I-11","Central",1,2004,57.66667,-161.5,3,9624
"C-04","Outer",1,1994,55.66667,-165.8,5,10025
"F-05","West",1,2002,56.66667,-165.21667,4,20050
"I-09","North",2,2006,57.66667,-162.75,1,54536
"I-01","West",1,2006,57.66667,-167.76667,4,20050
"D-04","Outer",1,2004,56,-165.78333,5,10025
"H-01","West",1,2014,57.33333,-167.73333,4,20050
"F-11","Central",1,2015,56.66667,-161.58333,3,9624
"E-11","Central",1,2015,56.33333,-161.61667,3,9624
"I-12","Central",1,2015,57.66667,-160.88333,3,9624
"F-13","East",1,1976,56.66667,-160.36667,2,6015
"C-02","Outer",1,1976,55.66667,-166.98333,5,8421
"H-07","West",1,1976,57.33333,-164,4,20050
"D-05","West",1,1979,56,-165.18333,4,20050
"E-04","West",1,1980,56.33333,-165.8,4,20050
"F-01","Outer",1,1980,56.66667,-167.66667,5,9624
"H-14","Central",1,1981,57.33333,-159.66667,3,9624
"E-02","Outer",1,1981,56.33333,-167.03333,5,10025
"D-02","Outer",1,1982,56,-167,5,9223
"I-10","North",1,1981,57.66667,-162.13333,1,52932
"H-16","East",1,1983,57.33333,-158.4,2,7218
"D-01","Outer",1,1983,56,-167.61667,5,10025
"G-09","Central",1,1985,57,-162.78333,3,9624
"J-06","North",1,1988,58,-164.61667,1,53333
"F-06","West",1,1989,56.66667,-164.6,4,19649
"J-14","East",1,1991,58,-159.6,2,7218
"I-13","Central",1,1991,57.66667,-160.26667,3,9624
"E-04","West",1,1992,56.33333,-165.8,4,20050
"K-08","North",1,1993,58.33333,-163.36667,1,54536
"D-03","Outer",1,1997,56,-166.4,5,10025
"H-12","Central",1,1997,57.33333,-160.93333,3,9624
"H-13","Central",1,1995,57.33333,-160.3,3,9624
"K-02","West",1,2001,58.33333,-167.18333,4,20050
"A-05","Outer",1,1996,55,-165.15,5,10025
"J-05","North",1,2001,58,-165.25,1,54536
"F-10","Central",1,2001,56.66667,-162.18333,3,9624
"G-09","Central",1,1994,57,-162.78333,3,9624
"J-03","West",1,1998,58,-166.51667,4,20050
"G-01","West",1,1998,57,-167.7,4,20050
"H-16","East",1,2003,57.33333,-158.4,2,7218
"I-08","North",2,2007,57.66667,-163.36667,1,54536
"D-10","Central",2,2009,56,-162.23333,3,9624
"I-01","West",1,2005,57.66667,-167.76667,4,20050
"C-01","Outer",1,2007,55.66667,-167.58333,5,10025
"E-01","Outer",1,2009,56.33333,-167.65,5,10025
"I-09","North",1,2004,57.66667,-162.75,1,54536
"E-08","West",1,2006,56.33333,-163.4,4,20050
"F-05","West",1,2004,56.66667,-165.21667,4,20050
"C-09","Central",1,2004,55.66667,-162.83333,3,9624
"E-10","Central",2,2008,56.33333,-162.2,3,9624
"H-04","West",1,2002,57.33333,-165.86667,4,20050
"H-12","Central",2,2012,57.33333,-160.93333,3,9624
"B-06","Outer",1,2013,55.33333,-164.58333,5,10025
"A-04","Outer",1,2011,55,-165.75,5,10025
"F-01","Outer",1,2010,56.66667,-167.66667,5,10025
"E-01","Outer",1,2010,56.33333,-167.65,5,10025
"G-11","Central",1,1975,57,-161.56667,3,9624
"G-14","East",1,1975,57,-159.71667,2,4010
"A-05","Outer",1,1975,55,-165.15,5,8822
"G-04","West",1,1976,57,-165.85,4,20050
"C-09","Central",1,1978,55.66667,-162.83333,3,9624
"Z-05","Outer",1,1977,54.66667,-165.15,5,9223
"K-09","North",1,1980,58.33333,-162.71667,1,54135
"I-13","Central",1,1980,57.66667,-160.26667,3,9624
"H-10","North",1,1981,57.33333,-162.15,1,52932
"K-06","North",1,1983,58.33333,-164.63333,1,54536
"B-06","Outer",1,1986,55.33333,-164.58333,5,9624
"H-08","West",1,1987,57.33333,-163.38333,4,20050
"I-05","West",1,1987,57.66667,-165.25,4,20050
"H-16","East",1,1988,57.33333,-158.4,2,6817
"H-04","West",1,1988,57.33333,-165.86667,4,19649
"D-09","Central",1,1989,56,-162.81667,3,9624
"F-07","West",1,1989,56.66667,-164,4,19649
"J-06","North",1,1991,58,-164.61667,1,54135
"A-03","Outer",1,1992,55,-166.33333,5,9624
"E-01","Outer",1,1992,56.33333,-167.65,5,9624
"K-01","West",1,1997,58.33333,-167.83333,4,20050
"H-13","Central",1,2001,57.33333,-160.3,3,9624
"I-07","West",1,1995,57.66667,-164,4,20050
"F-06","West",1,1997,56.66667,-164.6,4,20050
"G-09","Central",1,2002,57,-162.78333,3,9624
"J-06","North",1,2002,58,-164.61667,1,54135
"I-10","North",1,2001,57.66667,-162.13333,1,54536
"F-05","West",1,1998,56.66667,-165.21667,4,20050
"G-15","East",1,1994,57,-159.11667,2,7218
"I-08","North",1,1996,57.66667,-163.36667,1,54536
"G-04","West",1,2000,57,-165.85,4,20050
"J-14","East",1,2007,58,-159.6,2,7218
"H-11","Central",1,2003,57.33333,-161.53333,3,9624
"H-05","West",1,2007,57.33333,-165.23333,4,20050
"B-04","Outer",1,2005,55.33333,-165.78333,5,10025
"E-07","West",1,2005,56.33333,-164,4,20050
"I-13","Central",2,2006,57.66667,-160.26667,3,9624
"G-10","Central",1,2002,57,-162.16667,3,9624
"J-01","West",1,2006,58,-167.8,4,20050
"I-11","Central",1,2011,57.66667,-161.5,3,9624
"B-07","West",1,2013,55.33333,-164,4,20050
"E-06","West",1,2011,56.33333,-164.58333,4,20050
"C-06","West",1,2012,55.66667,-164.58333,4,20050
"K-09","North",1,2010,58.33333,-162.71667,1,54536
"E-10","Central",1,1975,56.33333,-162.2,3,9624
"G-12","Central",1,1975,57,-160.95,3,9624
