SURVEY_YEAR,BIOMASS_MALE_LE119,CV_BIOMASS_MALE_LE119,CI_BIOMASS_MALE_LE119,BIOMASS_MALE_GE120,CV_BIOMASS_MALE_GE120,CI_BIOMASS_MALE_GE120,BIOMASS_MALE_GE135,CV_BIOMASS_MALE_GE135,CI_BIOMASS_MALE_GE135,BIOMASS_MALE_LE94,CV_BIOMASS_MALE_LE94,CI_BIOMASS_MALE_LE94,BIOMASS_MALE_95TO109,CV_BIOMASS_MALE_95TO109,CI_BIOMASS_MALE_95TO109,BIOMASS_MALE_110TO134,CV_BIOMASS_MALE_110TO134,CI_BIOMASS_MALE_110TO134,BIOMASS_MALE_TOTAL,CV_BIOMASS_MALE_TOTAL,CI_BIOMASS_MALE_TOTAL,BIOMASS_FEMALE_IMMATURE,CV_BIOMASS_FEMALE_IMMATURE,CI_BIOMASS_FEMALE_IMMATURE,BIOMASS_FEMALE_MATURE,CV_BIOMASS_FEMALE_MATURE,CI_BIOMASS_FEMALE_MATURE,BIOMASS_FEMALE_TOTAL,CV_BIOMASS_FEMALE_TOTAL,CI_BIOMASS_FEMALE_TOTAL
1996,363.0904727,0.37782306,268.8805486,410.6400978,0.558707927,449.6786405,312.5703112,0.707106781,433.2003498,189.3056739,0.407902422,151.3477561,103.665506,0.491644386,99.89446552,168.1890794,0.498799731,164.4296284,773.7305705,0.333255496,505.385932,78.30608305,0.492003297,75.51262803,122.6331394,0.707106781,169.96086,200.9392225,0.463753069,182.6449148
1997,22.69893908,0.707106781,31.45912455,764.3214799,0.313136704,469.1007331,563.0233082,0.40202316,443.6428827,22.69893908,0.707106781,31.45912455,0,0,0,201.2981716,0.492447146,194.292272,787.0204189,0.315725594,487.0256795,0,0,0,133.3219789,0.532657661,139.1893478,133.3219789,0.532657661,139.1893478
1998,151.300096,0.428118134,126.957657,680.685083,0.343569303,458.3704986,680.685083,0.343569303,458.3704986,23.83156386,0.707106781,33.0288624,54.59319367,0.707106781,75.6623062,72.87533844,0.707106781,101.0000661,831.985179,0.319586345,521.1465609,103.5449207,0.557322048,113.1074198,293.8400343,0.347423132,200.090177,397.3849549,0.299628122,233.3727073
1999,124.3218379,0.499424307,121.6951215,342.1641805,0.397397846,266.5116042,132.9150356,0.707106781,184.2108411,0,0,0,51.38879623,0.707106781,71.22123794,282.1821866,0.399902381,221.1768433,466.4860184,0.377090625,344.778708,162.3206321,0.415651415,132.2388488,289.9341058,0.346050356,196.6503293,452.2547379,0.292921117,259.6509277
2000,155.127827,0.390446315,118.7154133,1113.145091,0.290596683,634.013492,905.2687257,0.299532787,531.4690214,41.45663915,0.592309013,48.12807642,46.55846917,0.707106781,64.52674618,274.9890838,0.496927998,267.8335588,1268.272918,0.259881794,646.0180408,62.23542536,0.504008361,61.47966253,488.5074498,0.344821061,330.1574083,550.7428752,0.328142656,354.2155699
2001,37.66297644,0.707106781,52.19822224,688.6308396,0.375496446,506.8137282,477.0894563,0.511317364,478.1304812,37.66297644,0.707106781,52.19822224,0,0,0,211.5413834,0.492043354,204.0115625,726.2938161,0.355531436,506.1117558,67.41580822,0.580477406,76.70137278,406.8729869,0.356412215,284.2284248,474.2887951,0.309979155,288.1584943
2002,223.4056018,0.434014775,190.0442106,1178.657096,0.315881133,729.7384561,1178.657096,0.315881133,729.7384561,0,0,0,160.9530965,0.397265161,125.3244733,62.45250533,0.707106781,86.55475645,1402.062698,0.285875804,785.5989692,38.14031106,0.707106781,52.85977427,213.9676388,0.407394575,170.8517405,252.1079498,0.355970269,175.896152
2003,216.2659088,0.490530989,207.926855,1656.431889,0.227399011,738.2751092,1536.946321,0.244197599,735.6244583,72.40445577,0.488928577,69.38519075,63.96170026,0.707106781,88.64639391,199.385321,0.5018462,196.1191009,1872.697798,0.204494678,750.5951964,46.75147158,0.515945299,47.27755592,319.680136,0.404740504,253.5994987,366.4316076,0.353982413,254.2322753
2004,674.9311154,0.198888679,263.1028699,582.7984586,0.41804831,477.5303047,582.7984586,0.41804831,477.5303047,51.98850501,0.517243592,52.70581332,490.4302142,0.213670389,205.3892129,132.5123962,0.491865203,127.7493438,1257.729574,0.255947561,630.9491205,183.0403122,0.303540515,108.8978954,293.7036899,0.408851398,235.3590817,476.7440022,0.298254616,278.694555
2005,415.7574746,0.373247922,304.1540027,1303.951353,0.232291444,593.6776153,882.9058428,0.302007968,522.623415,112.2311024,0.405797428,89.26446166,61.75784779,0.707106781,85.59201021,662.8140345,0.360001263,467.6832241,1719.708828,0.242053657,815.8731491,41.9854618,0.528689262,43.50663514,394.6036203,0.438545826,339.18147,436.5890821,0.408220026,349.3198362
2006,361.9299418,0.257676023,182.7909092,2313.174602,0.190105155,861.9029757,1854.531774,0.214934003,781.2597995,137.7178856,0.318184145,85.88650948,147.098469,0.397097853,114.4884729,535.7564149,0.26589583,279.2125769,2675.104543,0.171219717,897.7400602,49.34698855,0.707106781,68.39143686,1213.665052,0.201697394,479.7944323,1263.012041,0.192553315,476.6664244
2007,49.60447307,0.491652842,47.80083309,2388.404121,0.205943796,964.0789434,1871.898812,0.212551076,779.8332496,49.60447307,0.491652842,47.80083309,0,0,0,516.5053082,0.357614377,362.0310587,2438.008594,0.203189636,970.9410341,23.54444523,0.707106781,32.63093629,1204.260148,0.2504518,591.1538796,1227.804593,0.249387421,600.1500818
2008,379.5948682,0.280984508,209.0541438,3017.181937,0.158661453,938.2725201,2274.088814,0.218132354,972.2625965,65.77197633,0.520914506,67.15269,162.6562014,0.396629571,126.4479483,894.2598133,0.231912805,406.4849911,3396.776805,0.142997948,952.0349382,166.5205836,0.322704122,105.3242822,1748.488794,0.14847132,508.8168614,1915.009378,0.138243848,518.8870018
2009,638.3050748,0.255483227,319.6294311,2138.36363,0.196827423,824.9416609,1714.199731,0.236390006,794.2305815,243.4908412,0.32147265,153.4202662,245.4575253,0.493390552,237.3685909,573.520608,0.319990185,359.7010924,2776.668705,0.176326589,959.6170211,98.46486053,0.395721799,76.37079586,1700.649556,0.199267039,664.2114661,1799.114417,0.192051936,677.2258786
2010,953.8331422,0.274348106,512.8973386,2744.486736,0.236816434,1273.88154,2630.26668,0.248119259,1279.134847,100.7766654,0.407691714,80.52819035,543.309567,0.292516549,311.496998,423.9669659,0.348537149,289.6257454,3698.319878,0.185641402,1345.660126,52.21269975,0.496844492,50.84552087,1578.557971,0.26144976,808.9186624,1630.770671,0.251533093,803.9778695
2011,413.2754684,0.338360913,274.0790794,1746.709331,0.260713364,892.565311,983.7390955,0.299913337,578.2714916,236.7782798,0.345929345,160.5407685,96.00503768,0.491712037,92.52539201,843.4623863,0.222768408,368.2776754,2159.984799,0.221048027,935.8223394,34.80050045,0.707106781,48.23103292,1378.229998,0.220004226,594.3041905,1413.030499,0.222296318,615.658494
2012,339.2728804,0.348641864,231.8380698,2314.199983,0.191155569,867.0495401,1863.891665,0.210532244,769.1222183,56.25700096,0.498591587,54.97656408,209.4166904,0.512982464,210.557096,523.9075078,0.344396861,353.6469186,2653.472864,0.18651515,970.0292612,54.10960408,0.707106781,74.99208523,751.1138102,0.262144451,385.9246223,805.2234143,0.244872857,386.4676223
2013,360.858536,0.223022264,157.7397962,2829.054394,0.240732818,1334.850623,2117.50304,0.284866836,1182.284528,245.2959784,0.25967046,124.8443944,46.25572412,0.707106781,64.10716294,780.8581877,0.281435955,430.7326768,3189.91293,0.221736223,1386.345721,150.4967987,0.330269033,97.42068697,966.1597521,0.388928631,736.5036927,1116.656551,0.333667398,730.2800963
2014,9126.672329,0.687780133,12303.20206,1209.42141,0.503318335,1193.098982,1209.42141,0.503318335,1193.098982,5395.813841,0.687321802,7268.974563,3085.928072,0.68468359,4141.253248,644.9304164,0.707106781,893.8279548,10336.09374,0.607677519,12310.78313,4377.396653,0.695108465,5963.820315,1465.65088,0.521049164,1496.805286,5843.047533,0.648797917,7430.275849
2015,602.9269016,0.257524446,304.3260956,1669.620914,0.253466303,829.4575754,1053.243638,0.280740837,579.5494615,0,0,0,307.8439266,0.30100046,181.6158808,911.4602513,0.243156378,434.389651,2272.547816,0.229283648,1021.273787,0,0,0,637.5475214,0.192164596,240.1275609,637.5475214,0.192164596,240.1275609
2016,24.22595374,0.707106781,33.5754589,759.6633114,0.355083301,528.6977628,324.6866902,0.491596175,312.8448808,24.22595374,0.707106781,33.5754589,0,0,0,434.9766211,0.411747423,351.0369856,783.8892651,0.343351991,527.5338829,46.06673359,0.50250024,45.3711476,776.483665,0.363891048,553.8086913,822.5503986,0.3477521,560.6455119
2017,104.6633153,0.505173133,103.631266,2768.261293,0.25840652,1402.060063,2349.917056,0.276950788,1275.590308,0,0,0,40.35391534,0.707106781,55.92767329,482.6536366,0.482498838,456.4444449,2872.924608,0.248770013,1400.807082,37.56811265,0.707106781,52.06674774,716.107753,0.246297267,345.6957498,753.6758657,0.233300379,344.6324162
2018,20.4308982,0.707106781,28.31578026,1070.83642,0.345877291,725.9408808,878.4905498,0.401349465,691.0601563,20.4308982,0.707106781,28.31578026,0,0,0,192.3458703,0.707106781,266.5777757,1091.267318,0.338757135,724.5621959,0,0,0,1084.260633,0.339454419,721.3918433,1084.260633,0.339454419,721.3918433
2019,94.05322019,0.591680964,109.0730199,179.5467942,0.707106781,248.8391612,179.5467942,0.707106781,248.8391612,16.56116391,0.707106781,22.95260216,0,0,0,77.49205627,0.707106781,107.3985106,273.6000144,0.499174439,267.6853023,52.20930847,0.54059468,55.31918584,202.304581,0.707106781,280.3798445,254.5138895,0.666549817,332.5065256
2021,2134.877256,0.186276658,779.4484892,1882.095867,0.225501203,831.853168,1269.900147,0.255523954,636.0002164,160.9614958,0.291945509,92.10429216,976.1405172,0.221834265,424.4211722,1609.970964,0.212118493,669.3490452,4016.973123,0.138291526,1088.806153,128.6356535,0.67989707,171.4196477,3533.576132,0.313776921,2173.159092,3662.211785,0.32465173,2330.329049
2022,587.1489587,0.265347521,305.3651,3017.644464,0.280169182,1657.083922,2319.82621,0.334202437,1519.571484,154.9666888,0.352122679,106.9518799,0,0,0,1130.000525,0.268876959,595.5089654,3604.793423,0.241342482,1705.179994,29.92053157,0.707106781,41.46774111,2679.379963,0.280510442,1473.124352,2709.300495,0.279186884,1482.546278
2023,325.6339622,0.322893752,206.084537,2679.873896,0.225022741,1181.943837,2321.046967,0.241208864,1097.319921,54.98373323,0.396668147,42.74817935,135.7271041,0.524611163,139.5597498,493.750054,0.267514308,258.8870001,3005.507858,0.203961558,1201.495808,102.3771716,0.362001139,72.63887923,1792.686275,0.213169827,749.0073802,1895.063447,0.200669351,745.3510566
